0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
53,4,4,5,6,7,6,6,7,5,4,7,7,6,4,6,6,5,4,4,7,7,7,6,3,5,7,5,7,6,5,7,7
54,7,6,7,7,7,6,7,7,7,7,7,7,7,6,6,6,5,6,7,7,6,6,7,5,6,6,7,7,7,7,7,7
55,5,5,5,5,5,5,5,3,4,5,5,4,5,3,4,5,3,3,5,5,5,5,6,5,3,4,2,5,5,5,4,5
56,6,5,6,5,6,5,5,5,5,5,5,6,7,4,5,5,6,5,6,7,5,5,5,6,7,6,1,6,5,6,6,7
57,5,5,5,5,5,5,5,7,5,5,6,6,6,4,4,4,4,4,5,5,6,5,5,4,5,5,3,5,5,6,5,7
58,3,3,7,5,5,4,4,4,4,4,3,4,5,4,5,5,4,7,4,7,5,4,5,4,4,7,7,5,5,6,5,7
59,5,5,5,5,4,5,5,5,3,3,5,5,3,5,2,4,3,3,5,6,5,4,5,5,5,5,3,5,5,5,6,5
60,5,4,5,5,4,6,5,6,4,3,5,5,7,6,5,5,5,4,5,6,6,5,5,4,5,5,5,5,5,5,7,6
61,5,5,6,5,6,5,5,5,4,4,5,5,5,4,3,4,4,5,4,7,5,5,5,3,5,5,6,7,5,5,6,5
62,4,3,6,5,6,5,4,4,4,4,7,6,6,4,4,5,4,5,5,7,4,4,5,5,4,5,5,5,5,5,7,7
63,4,5,5,5,5,3,4,3,3,3,3,3,5,4,3,3,3,3,4,5,5,4,5,3,4,4,3,5,5,5,5,5
64,3,5,6,6,5,4,4,3,4,4,3,6,6,6,5,4,4,5,5,6,4,5,4,3,4,5,6,6,3,5,5,5
65,6,7,6,5,5,7,4,7,3,7,7,7,7,4,6,7,7,4,5,7,7,7,6,3,5,3,7,3,7,7,7,7
66,5,5,5,5,5,3,5,2,3,3,5,3,6,5,5,3,3,5,4,6,3,5,4,3,5,5,5,5,3,5,5,5
67,6,6,6,6,5,5,6,6,7,1,5,4,6,4,1,6,4,6,4,7,5,5,5,4,6,7,7,7,6,7,7,7
68,6,6,7,7,6,6,5,5,6,5,6,7,7,5,6,4,5,6,6,7,6,3,5,7,7,6,3,7,5,5,6,6
69,7,3,4,7,6,6,4,6,6,6,5,7,7,5,5,6,5,5,7,6,6,7,5,6,5,6,1,6,5,4,3,6
70,6,6,3,2,2,6,3,7,6,7,5,6,6,7,6,6,5,3,3,1,2,7,6,6,2,1,7,1,1,1,1,1
